"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"8:46:26.1908390 AM","ExploitBuilder.bat.exe","3688","RegOpenKey","HKLM\System\CurrentControlSet\Control\SafeBoot\Option","REPARSE","Desired Access: Query Value, Set Value"
"8:46:26.1908575 AM","ExploitBuilder.bat.exe","3688","RegOpenKey","HKLM\System\CurrentControlSet\Control\SafeBoot\Option","NAME NOT FOUND","Desired Access: Query Value, Set Value"
"8:46:26.1908733 AM","ExploitBuilder.bat.exe","3688","RegOpenKey","HKLM\System\CurrentControlSet\Control\Srp\GP\DLL","REPARSE","Desired Access: Read"
"8:46:26.1908850 AM","ExploitBuilder.bat.exe","3688","RegOpenKey","HKLM\System\CurrentControlSet\Control\Srp\GP\DLL","NAME NOT FOUND","Desired Access: Read"
"8:46:26.1909024 AM","ExploitBuilder.bat.exe","3688","RegOpenKey","HKLM\Software\Policies\Microsoft\Windows\Safer\CodeIdentifiers","SUCCESS","Desired Access: Query Value"
"8:46:26.1909315 AM","ExploitBuilder.bat.exe","3688","RegQueryValue","HKLM\SOFTWARE\Policies\Microsoft\Windows\safer\codeidentifiers\TransparentEnabled","NAME NOT FOUND","Length: 80"
"8:46:26.1909496 AM","ExploitBuilder.bat.exe","3688","RegCloseKey","HKLM\SOFTWARE\Policies\Microsoft\Windows\safer\codeidentifiers","SUCCESS",""
"8:46:26.1909689 AM","ExploitBuilder.bat.exe","3688","RegOpenKey","HKCU\Software\Policies\Microsoft\Windows\Safer\CodeIdentifiers","NAME NOT FOUND","Desired Access: Query Value"
"8:46:26.1911867 AM","ExploitBuilder.bat.exe","3688","Load Image","C:\Windows\System32\advapi32.dll","SUCCESS","Image Base: 0x7ffa015a0000, Image Size: 0xa2000"
"8:46:26.1913683 AM","ExploitBuilder.bat.exe","3688","Load Image","C:\Windows\System32\msvcrt.dll","SUCCESS","Image Base: 0x7ff9fefe0000, Image Size: 0x9e000"
"8:46:26.1914937 AM","ExploitBuilder.bat.exe","3688","Thread Create","","SUCCESS","Thread ID: 3488"
"8:46:26.1917958 AM","ExploitBuilder.bat.exe","3688","Load Image","C:\Windows\System32\sechost.dll","SUCCESS","Image Base: 0x7ffa01370000, Image Size: 0x59000"
"8:46:26.1919623 AM","ExploitBuilder.bat.exe","3688","Load Image","C:\Windows\System32\rpcrt4.dll","SUCCESS","Image Base: 0x7ff9fed80000, Image Size: 0x121000"
"8:46:26.1922277 AM","ExploitBuilder.bat.exe","3688","Load Image","C:\Windows\System32\ole32.dll","SUCCESS","Image Base: 0x7ff9ff860000, Image Size: 0x137000"
"8:46:26.1923765 AM","ExploitBuilder.bat.exe","3688","Load Image","C:\Windows\System32\combase.dll","SUCCESS","Image Base: 0x7ffa00f70000, Image Size: 0x2c8000"
"8:46:26.1925268 AM","ExploitBuilder.bat.exe","3688","Load Image","C:\Windows\System32\ucrtbase.dll","SUCCESS","Image Base: 0x7ff9fdd30000, Image Size: 0xf5000"
"8:46:26.1927386 AM","ExploitBuilder.bat.exe","3688","Load Image","C:\Windows\System32\bcryptprimitives.dll","SUCCESS","Image Base: 0x7ff9fde90000, Image Size: 0x6a000"
"8:46:26.1928266 AM","ExploitBuilder.bat.exe","3688","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value, Enumerate Sub Keys"
"8:46:26.1928583 AM","ExploitBuilder.bat.exe","3688","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value, Enumerate Sub Keys"
"8:46:26.1928832 AM","ExploitBuilder.bat.exe","3688","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\ResourcePolicies","NAME NOT FOUND","Length: 24"
"8:46:26.1929066 AM","ExploitBuilder.bat.exe","3688","RegCloseKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS",""
"8:46:26.1932585 AM","ExploitBuilder.bat.exe","3688","Load Image","C:\Windows\System32\gdi32.dll","SUCCESS","Image Base: 0x7ffa00ec0000, Image Size: 0x34000"
"8:46:26.1934152 AM","ExploitBuilder.bat.exe","3688","Load Image","C:\Windows\System32\gdi32full.dll","SUCCESS","Image Base: 0x7ff9fe470000, Image Size: 0x182000"
"8:46:26.1935980 AM","ExploitBuilder.bat.exe","3688","Load Image","C:\Windows\System32\user32.dll","SUCCESS","Image Base: 0x7ff9ff160000, Image Size: 0x165000"
"8:46:26.1937626 AM","ExploitBuilder.bat.exe","3688","Load Image","C:\Windows\System32\win32u.dll","SUCCESS","Image Base: 0x7ff9fe450000, Image Size: 0x1e000"
"8:46:26.1939729 AM","ExploitBuilder.bat.exe","3688","Load Image","C:\Windows\System32\oleaut32.dll","SUCCESS","Image Base: 0x7ffa01240000, Image Size: 0xbf000"
"8:46:26.1941896 AM","ExploitBuilder.bat.exe","3688","Thread Create","","SUCCESS","Thread ID: 2744"
"8:46:26.1946099 AM","ExploitBuilder.bat.exe","3688","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value"
"8:46:26.1946416 AM","ExploitBuilder.bat.exe","3688","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value"
"8:46:26.1946661 AM","ExploitBuilder.bat.exe","3688","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\SafeDllSearchMode","NAME NOT FOUND","Length: 16"
"8:46:26.1949131 AM","ExploitBuilder.bat.exe","3688","CreateFile","C:\Users\vagrant\Desktop\boomboom\ATL.DLL","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"8:46:26.1952083 AM","ExploitBuilder.bat.exe","3688","CreateFile","C:\Windows\System32\atl.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"8:46:26.1952552 AM","ExploitBuilder.bat.exe","3688","QueryBasicInformationFile","C:\Windows\System32\atl.dll","SUCCESS","CreationTime: 7/16/2016 1:18:36 PM, LastAccessTime: 7/16/2016 1:18:36 PM, LastWriteTime: 7/16/2016 1:18:36 PM, ChangeTime: 3/25/2017 10:49:39 PM, FileAttributes: A"
"8:46:26.1952695 AM","ExploitBuilder.bat.exe","3688","CloseFile","C:\Windows\System32\atl.dll","SUCCESS",""
"8:46:26.1953220 AM","ExploitBuilder.bat.exe","3688","Load Image","C:\Windows\System32\msvcp_win.dll","SUCCESS","Image Base: 0x7ff9fece0000, Image Size: 0x9c000"
"8:46:26.1954677 AM","ExploitBuilder.bat.exe","3688","CreateFile","C:\Windows\System32\atl.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"8:46:26.1955584 AM","ExploitBuilder.bat.exe","3688","CreateFileMapping","C:\Windows\System32\atl.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE|PAGE_NOCACHE"
"8:46:26.1955950 AM","ExploitBuilder.bat.exe","3688","CreateFileMapping","C:\Windows\System32\atl.dll","SUCCESS","SyncType: SyncTypeOther"
"8:46:26.1957090 AM","ExploitBuilder.bat.exe","3688","Load Image","C:\Windows\System32\atl.dll","SUCCESS","Image Base: 0x7ff9f87c0000, Image Size: 0x1c000"
"8:46:26.1958019 AM","ExploitBuilder.bat.exe","3688","CloseFile","C:\Windows\System32\atl.dll","SUCCESS",""
"8:46:26.1982430 AM","ExploitBuilder.bat.exe","3688","CreateFile","C:\Users\vagrant\Desktop\boomboom\mscoree.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"8:46:26.1984567 AM","ExploitBuilder.bat.exe","3688","CreateFile","C:\Windows\System32\mscoree.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"8:46:26.1985046 AM","ExploitBuilder.bat.exe","3688","QueryBasicInformationFile","C:\Windows\System32\mscoree.dll","SUCCESS","CreationTime: 7/16/2016 1:18:08 PM, LastAccessTime: 7/16/2016 1:18:08 PM, LastWriteTime: 7/16/2016 1:18:08 PM, ChangeTime: 3/25/2017 11:14:48 PM, FileAttributes: A"
"8:46:26.1985431 AM","ExploitBuilder.bat.exe","3688","CloseFile","C:\Windows\System32\mscoree.dll","SUCCESS",""
"8:46:26.1987765 AM","ExploitBuilder.bat.exe","3688","CreateFile","C:\Windows\System32\mscoree.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"8:46:26.1988512 AM","ExploitBuilder.bat.exe","3688","CreateFileMapping","C:\Windows\System32\mscoree.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE|PAGE_NOCACHE"
"8:46:26.1989370 AM","ExploitBuilder.bat.exe","3688","CreateFileMapping","C:\Windows\System32\mscoree.dll","SUCCESS","SyncType: SyncTypeOther"
"8:46:26.1990234 AM","ExploitBuilder.bat.exe","3688","Load Image","C:\Windows\System32\mscoree.dll","SUCCESS","Image Base: 0x7ff9f65a0000, Image Size: 0x66000"
"8:46:26.1991295 AM","ExploitBuilder.bat.exe","3688","CloseFile","C:\Windows\System32\mscoree.dll","SUCCESS",""
"8:46:26.1995396 AM","ExploitBuilder.bat.exe","3688","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value, Enumerate Sub Keys"
"8:46:26.1995690 AM","ExploitBuilder.bat.exe","3688","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value, Enumerate Sub Keys"
"8:46:26.1995917 AM","ExploitBuilder.bat.exe","3688","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\ResourcePolicies","NAME NOT FOUND","Length: 24"
"8:46:26.1996140 AM","ExploitBuilder.bat.exe","3688","RegCloseKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS",""
"8:46:26.1996736 AM","ExploitBuilder.bat.exe","3688","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\Sorting\Versions","REPARSE","Desired Access: Read"
"8:46:26.1996944 AM","ExploitBuilder.bat.exe","3688","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\Sorting\Versions","SUCCESS","Desired Access: Read"
"8:46:26.1997185 AM","ExploitBuilder.bat.exe","3688","RegQueryValue","HKLM\System\CurrentControlSet\Control\Nls\Sorting\Versions\(Default)","SUCCESS","Type: REG_SZ, Length: 18, Data: 0006020E"
"8:46:26.2002785 AM","ExploitBuilder.bat.exe","3688","CreateFile","C:\Windows\System32\imm32.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"8:46:26.2003310 AM","ExploitBuilder.bat.exe","3688","QueryBasicInformationFile","C:\Windows\System32\imm32.dll","SUCCESS","CreationTime: 7/16/2016 1:18:38 PM, LastAccessTime: 7/16/2016 1:18:38 PM, LastWriteTime: 7/16/2016 1:18:38 PM, ChangeTime: 3/25/2017 9:55:20 PM, FileAttributes: A"
"8:46:26.2003487 AM","ExploitBuilder.bat.exe","3688","CloseFile","C:\Windows\System32\imm32.dll","SUCCESS",""
"8:46:26.2008430 AM","ExploitBuilder.bat.exe","3688","CreateFile","C:\Windows\System32\imm32.dll","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"8:46:26.2009313 AM","ExploitBuilder.bat.exe","3688","CreateFileMapping","C:\Windows\System32\imm32.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE|PAGE_NOCACHE"
"8:46:26.2009491 AM","ExploitBuilder.bat.exe","3688","QueryStandardInformationFile","C:\Windows\System32\imm32.dll","SUCCESS","AllocationSize: 176,128, EndOfFile: 175,672, NumberOfLinks: 2, DeletePending: False, Directory: False"
"8:46:26.2009838 AM","ExploitBuilder.bat.exe","3688","CreateFileMapping","C:\Windows\System32\imm32.dll","SUCCESS","SyncType: SyncTypeOther"
"8:46:26.2010635 AM","ExploitBuilder.bat.exe","3688","CloseFile","C:\Windows\System32\imm32.dll","SUCCESS",""
"8:46:26.2014769 AM","ExploitBuilder.bat.exe","3688","Load Image","C:\Windows\System32\imm32.dll","SUCCESS","Image Base: 0x7ffa013d0000, Image Size: 0x2e000"
"8:46:26.2042684 AM","ExploitBuilder.bat.exe","3688","CreateFile","C:\Windows\System32\imm32.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"8:46:26.2050768 AM","ExploitBuilder.bat.exe","3688","QueryBasicInformationFile","C:\Windows\System32\imm32.dll","SUCCESS","CreationTime: 7/16/2016 1:18:38 PM, LastAccessTime: 7/16/2016 1:18:38 PM, LastWriteTime: 7/16/2016 1:18:38 PM, ChangeTime: 3/25/2017 9:55:20 PM, FileAttributes: A"
"8:46:26.2051047 AM","ExploitBuilder.bat.exe","3688","CloseFile","C:\Windows\System32\imm32.dll","SUCCESS",""
"8:46:26.2055847 AM","ExploitBuilder.bat.exe","3688","CreateFile","C:\Windows\System32\imm32.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"8:46:26.2056183 AM","ExploitBuilder.bat.exe","3688","QueryBasicInformationFile","C:\Windows\System32\imm32.dll","SUCCESS","CreationTime: 7/16/2016 1:18:38 PM, LastAccessTime: 7/16/2016 1:18:38 PM, LastWriteTime: 7/16/2016 1:18:38 PM, ChangeTime: 3/25/2017 9:55:20 PM, FileAttributes: A"
"8:46:26.2074537 AM","ExploitBuilder.bat.exe","3688","CloseFile","C:\Windows\System32\imm32.dll","SUCCESS",""
"8:46:26.2075454 AM","ExploitBuilder.bat.exe","3688","RegOpenKey","HKLM\System\CurrentControlSet\Control\Error Message Instrument\","REPARSE","Desired Access: Read"
"8:46:26.2075745 AM","ExploitBuilder.bat.exe","3688","RegOpenKey","HKLM\System\CurrentControlSet\Control\Error Message Instrument","NAME NOT FOUND","Desired Access: Read"
"8:46:26.2076398 AM","ExploitBuilder.bat.exe","3688","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\f25bcd2e-2690-55dc-3bc4-07b65b1b41c9","NAME NOT FOUND","Length: 524"
"8:46:26.2077112 AM","ExploitBuilder.bat.exe","3688","RegOpenKey","HKLM\Software\Microsoft\Windows NT\CurrentVersion\GRE_Initialize","SUCCESS","Desired Access: Read"
"8:46:26.2077527 AM","ExploitBuilder.bat.exe","3688","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\GRE_Initialize\DisableMetaFiles","NAME NOT FOUND","Length: 20"
"8:46:26.2077720 AM","ExploitBuilder.bat.exe","3688","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\GRE_Initialize","SUCCESS",""
"8:46:26.2079015 AM","ExploitBuilder.bat.exe","3688","RegOpenKey","HKLM\Software\Microsoft\Windows NT\CurrentVersion\Compatibility32","SUCCESS","Desired Access: Read"
"8:46:26.2079245 AM","ExploitBuilder.bat.exe","3688","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Compatibility32\ExploitBuilder.bat","NAME NOT FOUND","Length: 172"
"8:46:26.2079453 AM","ExploitBuilder.bat.exe","3688","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Compatibility32","SUCCESS",""
"8:46:26.2079679 AM","ExploitBuilder.bat.exe","3688","RegOpenKey","HKLM\Software\Microsoft\Windows NT\CurrentVersion\IME Compatibility","NAME NOT FOUND","Desired Access: Read"
"8:46:26.2084056 AM","ExploitBuilder.bat.exe","3688","RegOpenKey","HKCU","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"8:46:26.2084433 AM","ExploitBuilder.bat.exe","3688","RegOpenKey","HKCU\Control Panel\Desktop\MuiCached\MachineLanguageConfiguration","NAME NOT FOUND","Desired Access: Read"
"8:46:26.2084754 AM","ExploitBuilder.bat.exe","3688","RegCloseKey","HKCU","SUCCESS",""
"8:46:26.2085000 AM","ExploitBuilder.bat.exe","3688","RegOpenKey","HKLM\Software\Policies\Microsoft\MUI\Settings","NAME NOT FOUND","Desired Access: Read"
"8:46:26.2085336 AM","ExploitBuilder.bat.exe","3688","RegOpenKey","HKCU","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"8:46:26.2085547 AM","ExploitBuilder.bat.exe","3688","RegOpenKey","HKCU\Software\Policies\Microsoft\Control Panel\Desktop","NAME NOT FOUND","Desired Access: Read"
"8:46:26.2085732 AM","ExploitBuilder.bat.exe","3688","RegOpenKey","HKCU\Control Panel\Desktop\LanguageConfiguration","SUCCESS","Desired Access: Read"
"8:46:26.2085898 AM","ExploitBuilder.bat.exe","3688","RegEnumValue","HKCU\Control Panel\Desktop\LanguageConfiguration","NO MORE ENTRIES","Index: 0, Length: 512"
"8:46:26.2086061 AM","ExploitBuilder.bat.exe","3688","RegCloseKey","HKCU\Control Panel\Desktop\LanguageConfiguration","SUCCESS",""
"8:46:26.2086193 AM","ExploitBuilder.bat.exe","3688","RegCloseKey","HKCU","SUCCESS",""
"8:46:26.2086325 AM","ExploitBuilder.bat.exe","3688","RegOpenKey","HKLM\Software\Policies\Microsoft\MUI\Settings","NAME NOT FOUND","Desired Access: Read"
"8:46:26.2086574 AM","ExploitBuilder.bat.exe","3688","RegOpenKey","HKCU","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"8:46:26.2086827 AM","ExploitBuilder.bat.exe","3688","RegOpenKey","HKCU\Software\Policies\Microsoft\Control Panel\Desktop","NAME NOT FOUND","Desired Access: Read"
"8:46:26.2087042 AM","ExploitBuilder.bat.exe","3688","RegOpenKey","HKCU\Control Panel\Desktop","SUCCESS","Desired Access: Read"
"8:46:26.2087273 AM","ExploitBuilder.bat.exe","3688","RegQueryValue","HKCU\Control Panel\Desktop\PreferredUILanguages","NAME NOT FOUND","Length: 12"
"8:46:26.2087548 AM","ExploitBuilder.bat.exe","3688","RegCloseKey","HKCU\Control Panel\Desktop","SUCCESS",""
"8:46:26.2087752 AM","ExploitBuilder.bat.exe","3688","RegCloseKey","HKCU","SUCCESS",""
"8:46:26.2087967 AM","ExploitBuilder.bat.exe","3688","RegOpenKey","HKLM\Software\Policies\Microsoft\MUI\Settings","NAME NOT FOUND","Desired Access: Read"
"8:46:26.2088224 AM","ExploitBuilder.bat.exe","3688","RegOpenKey","HKCU","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"8:46:26.2088394 AM","ExploitBuilder.bat.exe","3688","RegOpenKey","HKCU\Control Panel\Desktop\MuiCached","SUCCESS","Desired Access: Read"
"8:46:26.2088556 AM","ExploitBuilder.bat.exe","3688","RegQueryValue","HKCU\Control Panel\Desktop\MuiCached\MachinePreferredUILanguages","BUFFER OVERFLOW","Length: 12"
